id,name,address,lat,lng,disabled,diaper,hours,male_toilet,male_urinal,female_toilet,emergency_bell,cctv,data_date
pd-3968,메인프라자 1,"경기도 화성시 병점구 효행로 1051 (진안동, 메인프라자)",37.2146321,127.0419762,true,true,11시간,4,4,48,false,true,2024-01-29
pd-3969,e-TOWN4,"경기도 화성시 병점구 효행로 1060 (병점동, 이타운4)",37.21435342,127.043174,false,true,11시간,2,2,2,false,false,2024-01-29
pd-3970,리더스프라자,"경기도 화성시 병점구 효행로 1068 (병점동, 리더스프라자)",37.21471964,127.0438904,false,true,11시간,2,3,2,false,false,2024-01-29
pd-3971,(주)영광주유소,경기도 화성시 병점구 효행로 1144 (병점동),37.2141016,127.0510864,false,true,11시간,1,1,1,false,false,2024-01-29
pd-3972,화성 함백산추모공원(화장장),경기도 화성시 효행구 매송면 서해로 2448-32,37.27060376,126.9100374,true,true,12시간,10,8,22,false,false,2024-01-29
pd-3973,구봉산 근린공원,경기도 화성시 동탄구 병점1로 110,37.20475799,127.0455706,false,true,12시간,2,2,3,false,false,2024-01-29
pd-3974,태성빌딩,경기도 화성시 병점구 병점2로 45 (병점동),37.20702323,127.0415315,true,true,12시간,2,3,2,false,false,2024-01-29
pd-3975,비봉인공습지 야구장,경기도 화성시 효행구 비봉면 유포리 411,37.25903381,126.8462392,false,true,12시간,2,0,1,false,false,2024-01-29
pd-3976,은혜원(성혜원),경기도 화성시 만세구 장안면 포승장안로 1194-24 (독정리),37.07238476,126.8474616,false,true,24시간,2,1,1,false,false,2024-01-29
pd-3977,(주)장안셀프주유소,경기도 화성시 만세구 장안면 포승향남로 2142 (석포리),37.12612598,126.8400199,false,true,24시간,1,2,1,false,false,2024-01-29
pd-3978,고지리주유소,경기도 화성시 효행구 정남면 가장로 300 (고지리),37.16276773,127.0126697,false,true,24시간,1,2,3,false,true,2024-01-29
pd-3979,(주)주은에너지,경기도 화성시 효행구 정남면 가장로 319 (고지리),37.16284069,127.0149431,false,true,24시간,1,0,1,false,false,2024-01-29
pd-3980,가장공단주유소,경기도 화성시 효행구 정남면 가장로 405 (내리),37.16202709,127.024445,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3981,정남주유소,경기도 화성시 효행구 정남면 괘랑1길 1-6 (괘랑리),37.1801117,126.9878038,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3982,정남파출소,경기도 화성시 효행구 정남면 괘랑리 901-1,37.17314072,126.9840005,false,true,24시간,1,0,1,false,true,2024-01-29
pd-3983,귀래생태공원,경기도 화성시 효행구 정남면 귀래리 100-1,37.13714766,127.0017019,false,true,24시간,1,1,3,false,false,2024-01-29
pd-3984,농산물센터,"경기도 화성시 효행구 봉담읍 서봉산길 9 (덕리, 화성농산물센터)",37.17393401,126.9387443,true,true,11시간,5,8,5,false,false,2024-01-29
pd-3985,남산석유(주)봉담신도시주유소,경기도 화성시 효행구 봉담읍 세자로 351 (수기리),37.19306955,126.9814924,false,true,11시간,1,2,1,false,false,2024-01-29
pd-3986,봉담파출소,경기도 화성시 효행구 봉담읍 와우로15번길 16,37.21635015,126.9737437,false,true,11시간,2,2,2,false,false,2024-01-29
pd-3987,태천센타,"경기도 화성시 효행구 봉담읍 와우로73번길 5 (와우리, 태천센타)",37.2149917,126.9739987,false,true,11시간,24,24,30,false,false,2024-01-29
pd-3988,동화마을 생태공원 1,경기도 화성시 효행구 봉담읍 웃음길 27,37.21346106,126.9576039,false,true,11시간,1,0,1,false,true,2024-01-29
pd-3989,민들레주유소,경기도 화성시 만세구 향남읍 발안만세길 156 (장짐리),37.13711837,126.8995272,false,true,11시간,1,0,1,false,false,2024-01-29
pd-3990,(주)구구에너지직영 88주유소,경기도 화성시 만세구 향남읍 삼천병마로 276 (장짐리),37.13754915,126.9130272,false,true,11시간,1,1,1,false,false,2024-01-29
pd-3991,SK향남주유소,경기도 화성시 만세구 향남읍 서해로 430-9 (상신리),37.09982168,126.9024399,false,true,11시간,1,0,1,false,true,2024-01-29
pd-3992,한민족주유소,경기도 화성시 만세구 향남읍 푸른들판로 324-6 (장짐리),37.13988689,126.9017045,false,true,11시간,1,0,1,false,true,2024-01-29
pd-3993,발안농협 행정지점,"경기도 화성시 만세구 향남읍 행정중앙2로 29 (행정리, 발안농협 행정지점)",37.13004886,126.9186039,false,true,11시간,6,10,10,false,false,2024-01-29
pd-3994,둥지나래어린이도서관 2층,"경기도 화성시 만세구 향남읍 행정중앙2로 88 (행정리, 화성향남어린이도서관)",37.12917676,126.9247723,false,true,11시간,1,2,3,false,true,2024-01-29
pd-3995,둥지나래어린이도서관 1층 어린이자료실 내,"경기도 화성시 만세구 향남읍 행정중앙2로 88 (행정리, 화성향남어린이도서관)",37.12917676,126.9247723,false,true,11시간,0,0,0,false,true,2024-01-29
